"CHART","CU_NAME","STREET","CITY","STATE","ZIP_CODE","CEO-MGR","PHONE","Assets","Loans","NetWorth","ShareGrowth","LoanGrowth","LnsAssets","InvAssets","Members","FullTime"
"23020","PUBLIX EMPLOYEES","P.O. BOX 1000","LAKELAND","FL","33802","DAVID, JOSEPH","8636836404",631422870.00,297018175.00,13.10,6.28,.15,47.04,51.19,116952.00,226.00
"24703","RAILROAD & INDUSTRIAL","3710 50th St N","Tampa","FL","33619","WOOD, ARTHUR","8136216661",260748048.00,68573331.00,10.28,1.13,-14.35,26.30,68.20,24466.00,66.00
"13652","RYDER SYSTEM","PO Box 020816","Miami","FL","33102 - 0816","GLENN, KENNETH","3055004000",41860564.00,21757757.00,21.35,-1.63,.44,51.98,46.08,5571.00,20.00
"11251","S C O R E","P.O. Box 108","Tallahassee","FL","32302","GLOVER, WILLIAM","8504881015",49246160.00,28658381.00,4.32,-13.62,-18.62,58.19,34.32,5637.00,21.00
"10699","SAN ANTONIO CITIZENS","12542 CURLEY ST","SAN ANTONIO","FL","33576","BALDWIN, TIMOTHY","3525882732",126829512.00,63736914.00,10.06,10.96,-6.29,50.25,48.19,11295.00,30.00
"11780","SANTA ROSA COUNTY","P.O. Box 841","Milton","FL","32572","GERMAN, STEVE","8506233877",80945008.00,35573879.00,13.89,11.65,1.37,43.95,46.95,10912.00,36.00
"67309","SARASOTA MUNICIPAL EMPLOYEES","1558 1st Street","Sarasota","FL","34236","KARINS, ELAINE","9419536744",23104362.00,8770295.00,11.52,8.76,4.55,37.96,58.30,2399.00,7.00
"1047","SEMINOLE SCHOOLS","2450 South Laurel Avenue","Sanford","FL","32771","MILLER, BRENDA","4073224305",35972032.00,14118874.00,9.18,1.94,-11.68,39.25,54.61,5402.00,13.00
"68016","SERVICE 1ST CU","8916 Sabal Industrial Blvd","Tampa","FL","33619","LENTH, SHARMON","8136219631",13739015.00,10734717.00,9.63,-18.67,-11.69,78.13,17.98,2549.00,6.00
"67327","SHAW-ROSS EMPLOYEES","1600 NW 163 ST","Miami","FL","33169","DIAZ, MIGUEL","3056254171",5658940.00,622799.00,12.50,11.49,1.77,11.01,88.34,1014.00,.00
"23077","SIX THIRTY","1900 N Florida Mango Rd","West Palm Beach","FL","33409","KING, RICHARD","5616898400",3069.00,.00,.00,-100.00,-100.00,.00,100.00,1.00,.00
"21202","SOUTH ATLANTIC","1 WEST CAMINO REAL, SUITE 110","BOCA RATON","FL","33432","FULL, LISA","5613947097",12370174.00,3547135.00,9.21,-5.31,-27.54,28.67,69.96,2696.00,4.00
"23041","SOUTH FLORIDA","1902 NW 14TH AVE","MIAMI","FL","33125","MARTINEZ, MAGGIE","3055450744",33263575.00,21675033.00,9.00,22.77,9.27,65.16,29.83,4083.00,14.00
"176","SOUTH FLORIDA EDUCATIONAL","7800 SW 117th Ave","Miami","FL","33183","PAGE, WILLIAM","3052705200",772326496.00,192253663.00,22.96,7.12,-1.86,24.89,69.93,63444.00,211.00
"22328","SOUTHEAST CORPORATE","3692 COOLIDGE COURT","TALLAHASSEE","FL","32311","MILLER, BRAD L","8507014000",1556156130.00,10101640.00,2.29,-38.20,-21.04,.65,98.11,352.00,85.00
"9105","SOUTHERNMOST","1004 Kennedy Drive","Key West","FL","33040","BETHEL, GLADYS","3052966568",10585857.00,5270141.00,25.58,.23,7.39,49.78,41.72,1873.00,5.00
"67297","SPACE COAST","8045 N Wickham Rd","Melbourne","FL","32940-7920","SAMUELS, DOUG","3217522222",3026215171.00,1971845538.00,8.22,-.95,-4.85,65.16,29.22,376465.00,756.00
"11791","ST. JAMES A M E CHURCH","1845 NW 65th Street","Miami","FL","33147","TAYLOR, KAREN","3056933270",489008.00,71026.00,21.32,-.10,-12.59,14.52,65.73,509.00,1.00
"13902","ST. JOSEPHS HOSPITAL","3001 W Dr Martin Luther King Jr Blv","Tampa","FL","33607","FRAVERD, SCOTT","8138704362",28015237.00,14584678.00,11.49,14.80,7.69,52.06,46.62,2748.00,7.00
"66736","STATE EMPLOYEES","PO Box 2927","Jacksonville","FL","32232","NUMBERS, JR., PAUL","9044187300",299621815.00,87291803.00,20.28,-2.00,-24.44,29.13,68.30,23858.00,49.00
"67332","SUN","4205 Hollywood Blvd","Hollywood","FL","33021","MASON, PATRICK","9549674441",55399074.00,24341258.00,11.46,9.90,-4.34,43.94,50.74,6039.00,17.00
"23042","SUNCOAST SCHOOLS","6801 E. Hillsborough Ave.","Tampa","FL","33610","DORETY, TOM","8136217511",4928570554.00,3681614183.00,6.50,-2.14,-5.85,74.70,23.66,520428.00,970.00
"67291","SUNLAND","3700 Williams Dr.","Marianna","FL","32446","CARNLEY, NELL","8504829400",2519662.00,1191010.00,29.76,-2.16,-3.95,47.27,52.19,892.00,.00
"11789","SUNSTATE","PO Box 1162","Gainesville","FL","32602 - 1162","WOODWARD, JAMES","3523815200",282586641.00,187946572.00,9.64,7.39,-.69,66.51,25.33,26948.00,110.00
"1086","SUWANNEE RIVER","203 PINEWOOD WAY, SW","LIVE OAK","FL","32064","CUNDIFF, AMY","3863622225",13066647.00,6970626.00,13.64,5.20,-2.88,53.35,42.49,2752.00,8.00
"60610","SWC","347 WEST SHORE PLAZA","TAMPA","FL","33609","COLESTOCK, BEKKI","8132886013",2318864.00,526318.00,35.89,-3.56,-8.04,22.70,76.65,360.00,1.00
"15175","T M H","345 S Magnolia Dr Ste F1","Tallahassee","FL","32301","MCCASKEY, MARION","8504025301",46310988.00,24972095.00,11.56,7.97,-5.35,53.92,42.11,6450.00,19.00
"3404","TALLAHASSEE","P O Box 1366","Tallahassee","FL","32302","NAZARUK, STEVEN","8502221421",5806070.00,2570045.00,18.87,-5.28,-2.99,44.26,53.86,653.00,3.00
"1316","TALLAHASSEE-LEON","1827 Capital Circle NE","Tallahassee","FL","32308","BROWN, LISA","8505768134",38521982.00,19079936.00,7.37,4.27,-17.29,49.53,30.84,6259.00,18.00
"352","TAMPA BAY","PO BOX 7492","TAMPA","FL","33673","SCHUMACHER, DALE","8132474414",212289919.00,145682124.00,7.08,-8.59,-17.08,68.62,25.28,27289.00,79.00
"22196","TAMPA LONGSHOREMEN'S","705 E HARRISON ST","TAMPA","FL","33602","NORMAN, WARDELL","8132291192",407195.00,164162.00,43.32,7.81,-12.35,40.32,40.14,359.00,1.00
"4395","TAMPA POSTAL","PO Box 17659","Tampa","FL","33682","VAGLICA, MARY","8132644969",58612048.00,21735826.00,15.93,3.43,-1.42,37.08,58.56,7498.00,21.00
"16834","TOWN OF PALM BEACH","951 Okeechobee Rd Ste B","West Palm Beach","FL","33401","SEADORF, DEBRA","5616554282",2694088.00,575085.00,10.31,5.97,-18.30,21.35,78.56,395.00,1.00
"68476","TROPICAL FINANCIAL","3050 Corporate Way","Miramar","FL","33025","HELBER, RICHARD","8882618328",561956239.00,386309837.00,7.93,-2.82,-11.40,68.74,28.31,54149.00,189.00
"10754","TYNDALL","PO BOX 59760","PANAMA CITY","FL","32412","WARREN, JAMES","8507699999",1074816211.00,614929661.00,10.09,1.26,.94,57.21,36.95,103179.00,245.00
"971","UNITED POLICE","400 NW 2ND AVENUE, ROOM # 309","MIAMI","FL","33128 - 1786","WAGY, JIM","3053291400",45736541.00,14367282.00,16.48,-3.70,-13.48,31.41,66.49,4392.00,13.00
"67348","UNIVERSITY","13241 SW 136 STREET","MIAMI","FL","33186","WELCH, SR., MICHAEL","7864255000",182354149.00,60709696.00,10.47,6.31,-5.93,33.29,56.99,26187.00,75.00
"24223","USF CREDIT UNION","13302 USF Palm Drive","Tampa","FL","33612","SKAGGS, RICHARD","8135692000",400335158.00,226983720.00,11.40,9.27,3.04,56.70,41.27,33482.00,70.00
"12458","VELOCITY COMMUNITY","PO Box 30669","Palm Beach Gard","FL","33420 - 0669","MARSHALL, JEFF","5617752525",262564429.00,109884432.00,14.14,2.76,-3.98,41.85,54.44,25446.00,68.00
"68490","VYSTAR","4949 Blanding Blvd","Jacksonville","FL","32210","WEST, TERRY","9047776000",4389883327.00,2565374847.00,8.36,6.56,-.11,58.44,38.17,405916.00,1022.00
"14186","WALTON COUNTY TEACHERS","WALTON COUNTY TEACHERS FCU, 1586 US","DEFUNIAK SPRING","FL","32433","BAREFIELD, HELEN","8508922024",14774265.00,9531193.00,9.86,-5.04,-1.63,64.51,30.79,3240.00,9.00
"19588","WEST COAST","300 JEFFORDS ST STE A","CLEARWATER","FL","33756","BLANCHARD, BILLIE","7274627046",12511293.00,4766681.00,14.55,21.26,7.65,38.10,56.84,2411.00,5.00
"67296","WEST COAST FEDERAL EMP.","PO Box 17185","Sarasota","FL","34276","PEET, MARIE","9419252890",31856494.00,15059109.00,12.05,1.67,-10.14,47.27,51.12,3127.00,11.00
"22225","WEST FLORDIA MEDICAL","8383 N Davis Hwy","Pensacola","FL","32514","WILLIAMS, REA","8504944899",3667994.00,851150.00,18.62,-2.73,-28.78,23.20,77.37,876.00,3.00
"67505","1ST CHOICE","315 Auburn Ave","Atlanta","GA","30303","CALDWELL, DANIEL","4048325800",24112104.00,14866388.00,11.77,27.29,-9.54,61.66,30.03,9231.00,12.00
"16096","AFLAC","1932 Wynnton Road","Columbus","GA","31999","MCLEOD, ROY","7065963239",169055399.00,48987938.00,15.47,4.66,-6.35,28.98,69.62,17287.00,10.00
"10262","ALTAMAHA","PO Box 490","Jesup","GA","31598","DAVIDSON, BRENDA","9124278924",54591978.00,25320270.00,11.93,-4.10,-4.29,46.38,45.49,10115.00,25.00
"6859","ARTESIAN CITY","P O BOX 428","ALBANY","GA","31702 - 0428","SIMPSON, ROBERT","2294360869",14047081.00,6792894.00,24.26,10.25,-8.58,48.36,46.70,2313.00,6.00
"60484","ASSOCIATED CREDIT UNION","6251 Crooked Creek Road","Norcross","GA","30092 - 3107","HODGES, LIN","7704488200",1211590222.00,455903184.00,10.81,6.62,3.34,37.63,57.51,152349.00,301.00
"12490","ATLANTA","3075 SYLVAN ROAD","ATLANTA","GA","30354","WHITE, LINDA","4045598833",9257125.00,3855344.00,21.28,-.96,-4.87,41.65,52.60,2609.00,5.00
"67389","ATLANTA POSTAL","3900 Crown Road","Atlanta","GA","30380","DECINQUE, DONALD","4047684126",1972908003.00,877035034.00,12.06,1.39,5.23,44.45,53.88,99964.00,152.00
"88","ATLANTA TEACHERS","261 Joseph E Lowery Blvd NW","Atlanta","GA","30314","MCCARTNEY, ROBERT","4045253218",7250297.00,1649906.00,5.78,-2.47,86.41,22.76,74.70,1439.00,2.00
"14228","AUGUSTA METRO","PO BOX 213089","AUGUSTA","GA","30917","SAXON, SHERRY","7068546150",62380025.00,45646005.00,9.85,8.29,16.65,73.17,13.33,12709.00,39.00
"7922","AUGUSTA SEABOARD COMMUNITY","1212-C AUGUSTA WEST PKWY","AUGUSTA","GA","30909","AMERMAN, ROBIN","7066509200",7133173.00,3324820.00,9.34,6.53,-10.12,46.61,50.20,1546.00,4.00
"9029","AUGUSTA VAH","3830 WASHINGTON ROAD,  STE 34","MARTINEZ","GA","30907","COCHRAN, PHYLLIS","7068552224",59168239.00,30274511.00,14.10,7.10,-2.32,51.17,43.21,9991.00,27.00
"20974","B.O.N.D. COMMUNITY","P. O. Box 5286","Atlanta","GA","31107","ARTIS, RUTH","4045250619",37091649.00,25306392.00,8.67,5.60,1.89,68.23,31.12,5025.00,13.00
"21575","BEKA","PO Box 312","Lindale","GA","30147","BROADAWAY, LEAH","7062354481",7371402.00,5731269.00,12.75,7.26,8.93,77.75,21.90,1129.00,2.00
"14011","BERRIEN TEACHERS","P.O. BOX 625","NASHVILLE","GA","31639","STONE, VIVIAN","2296865290",1166551.00,613504.00,16.66,-3.60,-.21,52.59,46.96,258.00,1.00
"24546","BIG BETHEL A.M.E. CHURCH","206 Auburn Avenue","Atlanta","GA","30303","MCCRARY, AMOS","4048279715",216967.00,27600.00,10.82,9.36,-13.61,12.72,86.14,381.00,.00
"22400","BROSNAN YARD","223 WALNUT ST","MACON","GA","31201","TOOMBS, BARBARA","4787432083",3010145.00,1769287.00,13.40,-14.17,8.45,58.78,41.44,787.00,2.00
"12176","CATOOSA TEACHERS","25 GATEWAY BUSINESS PARK DR","RINGGOLD","GA","30736","CARVER, LINDA","7069652422",11846276.00,8970745.00,11.27,-5.48,-5.53,75.73,15.42,2087.00,7.00
"6053","CDC","P O Box 49169","Atlanta","GA","30359","MERCIER, ELIZABETH","4043253270",240498203.00,74618870.00,7.33,11.32,2.12,31.03,63.15,17198.00,57.00
"61461","CENTRAL STATE HOSPITAL","LAWRENCE BLDG","MILLEDGEVILLE","GA","31062","WALTON, NANCY","4784455347",10450850.00,3505032.00,21.51,-1.92,-.73,33.54,66.12,2828.00,3.00
"67367","CGR","2040 Ingleside Ave","Macon","GA","31204","JORDAN, ROBERT","4787450494",53404690.00,26414095.00,11.68,15.91,2.91,49.46,42.74,10077.00,28.00
"12070","CHATHAM","606 East 67th Street","Savannah","GA","31405","HARRISON, MARCIA","9123522902",21764408.00,9306503.00,16.48,3.31,-9.08,42.76,45.53,3679.00,10.00
"67688","CITY EMPLOYEES","P.O. Box 247","Macon","GA","31202","SINSKI, JULIANNE","4787512729",2704172.00,1731052.00,9.36,5.40,13.27,64.01,35.51,1629.00,2.00
"16014","COFFEE COUNTY TEACHERS","1006 Madison Ave North","Douglas","GA","31535","WADE, KIMBERLY","9123842866",3348928.00,1486953.00,12.60,-5.50,-30.79,44.40,53.57,1204.00,2.00
"11996","COLQUITT COUNTY TEACHER","PO Box 2708","Moultrie","GA","31776","YARBROUGH, SALLY","2298906214",5037776.00,3477574.00,17.12,-9.48,27.95,69.03,21.90,1497.00,4.00
"60825","COMBINED EMPLOYEES","593 Russell Pkwy","Warner Robins","GA","31088","SPIRES, CHERYL","4789295700",8618506.00,5533870.00,14.16,2.12,-3.96,64.21,26.30,4401.00,7.00
"17201","COMMUNITY UNITED","P. O. Box 703","Waycross","GA","31502","WALDEN, TED","9122855150",15309942.00,10769460.00,10.83,1.52,1.79,70.34,22.85,3170.00,6.00
"9488","COOSA VALLEY","2010 REDMOND CIR NW","ROME","GA","30165","TOMLINSON, RONALD","7062358551",157881593.00,90520030.00,7.67,3.39,-2.24,57.33,33.39,24202.00,55.00
"67371","CORE","P.O. Box 1987","Statesboro","GA","30459 - 1987","MICHAEL, BOBBY","9127649846",48908496.00,40132415.00,8.17,9.07,5.10,82.06,12.84,7692.00,22.00
"20509","COWETA CITIES & COUNTY EMPLOYEES","P O Box 71063","Newnan","GA","30271 - 1063","ASHOFF, REBECCA","7702532273",14962284.00,6830827.00,17.44,3.58,-9.12,45.65,53.23,3838.00,5.00
"67383","CREDIT UNION OF ATLANTA","Credit Union of Atlanta, 670 Metrop","Atlanta","GA","30310","MONTGOMERY, SHEILAH","4046586465",75779016.00,50320571.00,12.02,37.33,26.12,66.40,28.76,16194.00,39.00
"68571","CREDIT UNION OF GEORGIA","PO Box 2148","Woodstock","GA","30188","MALONE, J. BRANT","6783222000",185566363.00,124028831.00,5.42,-.83,-5.43,66.84,30.12,33154.00,75.00
"61262","CRMC EMPLOYEES","PO BOX 1287","DOUGLAS","GA","31533","LEWIS, MATTIE","9123835640",2257969.00,805865.00,15.25,13.49,-5.13,35.69,64.24,880.00,1.00
"67737","DAIRY-PAK ATHENS","600 Dairy Pak Rd","Athens","GA","30607","CAPE, LINDA","7065521111",282613.00,65349.00,36.04,-12.53,-14.18,23.12,75.07,248.00,.00
"66357","DELTA COMMUNITY","1025 Virginia  Avenue","Atlanta","GA","30354","FOLEY, RICK","4047154725",4172972737.00,2590670399.00,9.26,7.44,6.24,62.08,33.66,240689.00,646.00
"68618","DOCO","PO Box 71389","Albany","GA","31708","HEAPE, BARRY","2294351715",172613249.00,112207369.00,10.09,17.33,3.92,65.01,23.11,35910.00,83.00
"22083","E L C O","PO BOX 6129","ELBERTON","GA","30635","DYAL, JOANNE","7062134186",3048851.00,1828378.00,13.67,-4.51,-10.95,59.97,40.24,742.00,3.00
"68573","EMORY ALLIANCE","1237 Clairmont Road","Decatur","GA","30030","CULBERSON, CHRIS","4043296415",129915323.00,51750544.00,6.82,5.53,.55,39.83,54.54,18940.00,41.00
"67391","ETHICON","655 Ethicon Circle","Cornelia","GA","30531","BEAM, DEBORAH","7067765458",10054656.00,5425216.00,21.05,.87,-5.87,53.96,44.55,1156.00,3.00
"19963","ETOWAH VALLEY","P. O. Box 1090","Cartersville","GA","30120","HILTON, VEDA","7703827373",19993773.00,11403087.00,19.92,3.70,-8.19,57.03,28.58,3738.00,10.00
"7825","EXCEL","5070 PEACHTREE INDUSTRIAL BLVD","NORCROSS","GA","30071","NALLEY, GARY","7704419235",86510232.00,48232507.00,10.82,-2.46,-5.80,55.75,38.61,12852.00,42.00
"9527","F A B CHURCH","23 Montgomery Street","Savannah","GA","31402","ANDERSON, MONICA","9122338997",230625.00,155261.00,21.53,62.97,38.33,67.32,34.38,297.00,.00
"14385","FIDELITY","6690 Roswell Road NE, Suite 1100","Sandy Springs","GA","30328","LEHMANN, JUDITH","6784207720",24205758.00,12739491.00,20.66,-4.03,-8.79,52.63,42.65,5602.00,9.00
"67385","FIELDALE","PO BOX 558","BALDWIN","GA","30511","STUART, BECKY","7067785100",8580305.00,2077857.00,14.67,-1.09,-13.01,24.22,74.94,1873.00,.00
"20707","FIRST RELIANCE","PO BOX 80505","ATHENS","GA","30608","THOMAS, DINA","7066131644",11108378.00,5338974.00,10.23,14.86,-5.92,48.06,43.73,2247.00,4.00
"16085","FLINT","PO Box 374","Reynolds","GA","31076","KENDRICK, TONYA","4788475180",2933257.00,1331777.00,21.30,-2.63,-3.91,45.40,51.53,769.00,1.00
"23908","FLINT RIVER EMPLOYEES","2249 Stagecoach Road, P.O. Box 238","Oglethorpe","GA","31068","RANSOM, DENISE","4784725524",1938956.00,951518.00,24.82,3.00,-2.72,49.07,49.70,325.00,1.00
"67392","FLOWERS EMPLOYEES CREDIT LEAGUE","P. O. Box 3137","Thomasville","GA","31799","SINGLETARY, JACK","2292286860",22505462.00,15277589.00,23.46,.25,2.84,67.88,32.86,5696.00,10.00
"67539","FLOYD COUNTY POSTAL EMP","PO Box 986","Rome","GA","30165","COLE, CHRIS","7062917501",5089442.00,2728432.00,7.83,14.67,-3.23,53.61,46.63,663.00,1.00
"68619","FORT GORDON AND COMMUNITY","PO Box 7256","Fort Gordon","GA","30905","LOWE, KYLE","7067930012",55634929.00,16760752.00,9.09,11.03,1.78,30.13,63.77,7388.00,20.00
"67706","FORT MCPHERSON","1732 WALKER AVE SW","ATLANTA","GA","30310","OSBORNE, AMY","4047534592",22066602.00,7577772.00,10.07,2.07,-7.96,34.34,59.17,5255.00,7.00
"67939","FREDERICA","4401 ALTAMA AVENUE","BRUNSWICK","GA","31520","GIBSON, BILLY","9122647533",38189239.00,29667214.00,3.28,-14.29,-16.72,77.68,14.27,3416.00,9.00
"61831","FULTON TEACHERS","3604 Atlanta Ave","Hapeville","GA","30354","SMITH, STEPHEN","4047684980",85126849.00,47445040.00,13.96,7.78,1.80,55.73,35.62,10835.00,27.00
"67363","G. P. A.","PO Box 2406","Savannah","GA","31402","COLE, ROBERT","9129643995",12960970.00,4774419.00,18.10,-1.19,4.06,36.84,63.03,1445.00,4.00
"20209","GDC","60 Herring Rd","Newnan","GA","30265-1006","KENT, LORI","7702519363",3312256.00,1871130.00,38.09,-4.95,33.72,56.49,43.98,998.00,2.00
"19536","GEMC","2100 E Exchange Place Ste 101","Tucker","GA","30084-5313","SWAN, DENISE","4705143000",81112607.00,50446800.00,10.83,4.99,13.22,62.19,35.26,12971.00,23.00
"67382","GENUINE PARTS","5420 Peachtree Industrial Blvd","Norcross","GA","30071","WHEELER, GERALDINE","7702464362",8404951.00,2504707.00,29.83,8.74,-15.73,29.80,69.10,1001.00,2.00
"4425","GEORGIA COASTAL","2524 STADIUM STREET","BRUNSWICK","GA","31520","MCKINLEY, LAURA","9122656872",10245220.00,6439592.00,6.76,.77,-19.08,62.85,21.24,1490.00,7.00
"67712","GEORGIA DEPT OF PUB SAFETY","959 EAST CONFEDERATE AVENUE","ATLANTA","GA","30316","BOHLANDER, LAURA","4046247790",13557798.00,10001475.00,1.66,-16.27,-22.46,73.77,27.70,2736.00,4.00
"68291","GEORGIA GUARD","1030Shurling Dr","Macon","GA","31211","MONTFORD, DEBRA","4787414428",4153873.00,2875059.00,11.42,-.58,20.46,69.21,26.86,1132.00,5.00
"3800","GEORGIA HERITAGE","P O BOX 1920","SAVANNAH","GA","31402","TARATUTA, DALE","9122364400",77092049.00,52039836.00,12.23,.43,2.41,67.50,27.99,8020.00,24.00
"3985","GEORGIA PINE","1401 WEST NINTH STREET","BRUNSWICK","GA","31520","CANNON, DONNA","9122642973",22188286.00,4509216.00,34.79,-5.09,-11.13,20.32,78.47,2054.00,5.00
"383","GEORGIA POWER","P O Box 468266","Atlanta","GA","31146","JAMES, EMILY","7703969005",41314040.00,24381933.00,11.69,-2.05,-10.66,59.02,38.39,8461.00,15.00
"375","GEORGIA POWER MACON","960 KEY STREET","MACON","GA","31204","RUMPH, DERRICK","4787845860",3279264.00,1730628.00,7.86,-.86,4.20,52.77,45.30,958.00,2.00
"365","GEORGIA POWER NORTHWEST","906 N BROAD ST SE","ROME","GA","30161-5231","BURNES, ELLEN","7062326871",42338392.00,17840079.00,11.71,8.05,-9.67,42.14,52.41,7921.00,17.00
"12291","GEORGIA POWER VALDOSTA","1707 Dow Street","Valdosta","GA","31601","JOHNSON, JERRY","2292531111",23457276.00,16266232.00,9.33,1.37,1.75,69.34,24.81,3168.00,7.00
"68607","GEORGIA UNITED","6705 Sugarloaf Parkway","Duluth","GA","30097","BUTLER, WARREN","7704766400",893021140.00,437406582.00,10.97,40.87,28.14,48.98,42.51,115774.00,201.00
"67390","GEORGIA'S OWN","P.O. Box 105205","Atlanta","GA","30348 - 5205","PRETER, DAVE","4048740777",1663247421.00,1114322129.00,11.30,3.19,16.28,67.00,28.82,182585.00,358.00
"16168","GEOVISTA","PO BOX 132","HINESVILLE","GA","31310","TUTEN, ELAINE","9123682477",100975429.00,54357966.00,7.25,2.95,-4.27,53.83,35.87,23832.00,71.00
"67354","GLYNN COUNTY FEDERAL EMPLOYEES","C/O FLETC Bldg 86","Glynco","GA","31524","WEATHERS, SYLVIA","9122646325",17571528.00,7155555.00,20.10,6.34,-5.58,40.72,58.36,1435.00,5.00
"11489","GOLDEN","P.O. Box 5065","Columbus","GA","31906","HOLLAND, WILLIAM","7063233517",440697.00,169430.00,30.26,44.09,16.09,38.45,62.45,171.00,1.00
"14676","GWINNETT","175 N Clayton St","Lawrenceville","GA","30046","BOUTWELL, ROBERT","7709635679",185031450.00,96615900.00,8.13,14.77,4.13,52.22,39.45,34346.00,84.00
"14670","H E A","121 OSIGIAN BLVD","WARNER ROBINS","GA","31088","BURKE, MARTHA","4789537477",22185805.00,11724632.00,9.66,3.71,-12.66,52.85,41.88,4033.00,8.00
"23054","HABERSHAM","P O Box 2645, 420 W Louise Street","Clarkesville","GA","30523","MCGOVERN, LORIE","7067543680",12311896.00,6555189.00,20.53,17.82,17.24,53.24,40.40,2576.00,8.00
"68602","HALLCO COMMUNITY","POB 908237","Gainesville","GA","30501","FOSTER, JOE","7705344255",46126206.00,29192535.00,7.87,3.90,4.88,63.29,27.64,10149.00,25.00
"67563","HARRIS EMPLOYEES","P. O. BOX 998","CORDELE","GA","31010","MOORE, AMY","2292732500",2232472.00,662935.00,9.03,-1.85,-15.31,29.70,70.59,378.00,.00
"67399","HEALTH CENTER","1467 Harper Street","Augusta","GA","30912","TALLENT, STACY","7064341638",46113045.00,34459719.00,9.92,1.41,-3.84,74.73,13.33,8923.00,25.00
"12568","HEALTHCOM","1412 Chattanooga Ave","Dalton","GA","30720","WRIGHT, DEBORAH","7062726196",10151400.00,6862074.00,16.35,-1.89,7.36,67.60,14.56,2142.00,6.00
"61730","HUMAN SERVICES EMPLOYEES'","101 Marietta Street, Suite 140","Atlanta","GA","30303","ROBBINS, ELAINE","4049652740",23237892.00,10783283.00,12.93,1.32,-9.26,46.40,49.85,5137.00,8.00
"10546","HUTCHESON","100 GROSS CRESCENT CIRCLE","FT OGLETHORPE","GA","30742 - 3643","WALTERS, SHANNON","7068582270",5088317.00,3159676.00,23.89,16.66,.38,62.10,29.72,1117.00,4.00
"18707","INTERSTATE UNLIMITED","705 West Cherry St","Jesup","GA","31545","BRANCH, STACIE","9124273904",64784282.00,34410388.00,9.55,5.71,3.30,53.12,36.65,10623.00,25.00
"67655","JEFF DAVIS","54 Currie Street","Hazlehurst","GA","31539","CARTER, BEVERLY","9123750125",4990821.00,964259.00,30.92,-6.46,-10.33,19.32,79.79,783.00,2.00
"19552","LANIER","3718 Mundy Mill Rd","Oakwood","GA","30566 - 3417","SIMPSON, ROBIN","7705031765",21934133.00,11692532.00,8.73,28.85,10.43,53.31,35.02,3621.00,9.00
"68581","LGE COMMUNITY","430 Commerce Park Dr SE","Marietta","GA","30060","LEGGETT, CHRIS","7704240060",828159127.00,533583956.00,10.92,8.16,3.72,64.43,30.52,98872.00,193.00
"21297","LOCAL 461","1038 GUY PAINE RD","MACON","GA","31206","BARTON, MARCI","4787882539",967578.00,723632.00,23.53,-42.36,-6.04,74.79,27.55,547.00,2.00
"13516","LOCOGA","PO BOX 5787","VALDOSTA","GA","31603","MANLEY, DEBBIE","2292444513",6396593.00,2516947.00,9.52,20.18,-14.89,39.35,59.18,1165.00,2.00
"14034","M E A","6333 WHITESVILLE ROAD","COLUMBUS","GA","31904","BELL, POLLY","7065635002",62596950.00,32738110.00,13.92,26.57,5.52,52.30,37.54,8189.00,28.00
"67687","MACON FIREMEN'S","899 OGLETHORPE STREET","MACON","GA","31201","HARDWICK, LINDA","4787414006",3757768.00,2801791.00,23.71,4.32,5.68,74.56,24.17,696.00,2.00
"63171","MACON POLICE","PO Box 5145","Macon","GA","31208","ROBERTS, SUE","4788032494",384019.00,122230.00,48.42,15.90,28.98,31.83,68.48,344.00,1.00
"67397","MACON WATER WORKS","PO Box 13722","Macon","GA","31208 - 3722","ENGELAUF, DOROTHY","4784645600",1079167.00,785181.00,17.21,5.40,11.65,72.76,26.37,188.00,1.00
"8323","MARSHLAND COMMUNITY","PO BOX 1957","BRUNSWICK","GA","31521 - 1957","HOLCOMBE, JEFF","9122792000",118359211.00,80779604.00,10.41,-.49,-7.25,68.25,24.72,16289.00,46.00
"67353","MEAD EMPLOYEES'","P.O. BOX 93425","ATLANTA","GA","30377","GARNER, TINA","4048976391",4310474.00,2459098.00,35.65,-5.55,-4.61,57.05,39.96,1242.00,3.00
"24493","MEMBERS ALLIANCE","6270 BRADLEY PARK DR.","COLUMBUS","GA","31904","DELSIGNORE, ART","7063277608",26316287.00,3886161.00,13.26,3.08,-11.75,14.77,79.94,4931.00,10.00
"67372","MEMBERS UNITED","PO BOX 112","COLUMBUS","GA","31902","GILMORE, LIZ","7069878000",11171412.00,5679953.00,19.80,-7.82,-15.30,50.84,43.83,1700.00,4.00
"67394","MEMBERS UNITED CREDIT UNION","1115 N Westover Blvd","Albany","GA","31707","SINDERSINE, OLIVER","2294391448",41952696.00,26053021.00,11.36,4.22,12.58,62.10,32.91,6170.00,19.00
"67538","MEMBERSFIRST","PO Box 33189","Decatur","GA","30033","HARDY, TERRY","4049780080",97726977.00,63910157.00,9.58,18.30,8.61,65.40,28.04,15927.00,43.00
"68556","MEMORIAL HEALTH CREDIT UNION","4831 Waters Ave","Savannah","GA","31404","HILL, DON","9123548100",15553804.00,10366397.00,19.46,5.23,-.12,66.65,30.57,4244.00,10.00
"22362","MERCY","11705 Mercy Blvd","Savannah","GA","31419","NORRIS, ASHLEY","9128192411",4907275.00,2737449.00,16.78,7.58,.95,55.78,41.34,1781.00,4.00
